date,order_id,region,country,sales_rep,product,category,units,unit_price,revenue,discount_pct,margin_pct,customer,segment,channel,status
2024-02-05,ORD-100031,APAC,South Korea,J. Müller,Priority Support,Services,170,2311.39,353642.67,10,60.3,"Stark GmbH",Enterprise,Partner,paid
2024-08-03,ORD-100032,LATAM,Argentina,D. Walsh,Audit Logs,Add-on,146,97.14,14182.44,0,51.4,"Umbra SA",Enterprise,Marketplace,paid
2024-08-14,ORD-100033,EMEA,Italy,R. Okafor,Volume Credits,Usage,204,2616.93,533853.72,0,50.5,"Massive GmbH",Mid-Market,Self-Serve,paid
2024-04-11,ORD-100034,EMEA,United Kingdom,N. Costa,Retab Parse,Platform,63,203.43,12816.09,0,58.0,"Massive LLC",Strategic,Marketplace,paid
2024-05-04,ORD-100035,EMEA,UAE,D. Walsh,Retab Parse,Platform,229,2679.15,613525.35,0,72.3,"Umbra LLC",Strategic,Direct,pending
2024-05-07,ORD-100036,North America,Canada,F. Haddad,Retab Split,Platform,206,205.67,36012.82,15,79.8,"Wayne Ltd",Strategic,Marketplace,paid
2024-08-31,ORD-100037,LATAM,Chile,R. Okafor,Retab Classify,Platform,216,954.51,154630.62,25,65.6,"Hooli SA",Enterprise,Partner,paid
2024-06-20,ORD-100038,APAC,South Korea,J. Müller,Retab Extract,Platform,36,46.37,1669.32,0,69.1,"Globex SA",Enterprise,Marketplace,paid
2024-02-01,ORD-100039,EMEA,South Africa,E. Santos,Onboarding,Services,100,2541.02,254102.0,0,75.7,"Massive SA",Startup,Self-Serve,paid
2024-07-18,ORD-100040,LATAM,Argentina,M. Dubois,Volume Credits,Usage,57,97.73,5570.61,0,55.1,"Stark Co",Strategic,Partner,pending
2024-09-30,ORD-100041,North America,Canada,A. Chen,Audit Logs,Add-on,145,904.51,104923.16,20,44.0,"Wayne LLC",Enterprise,Marketplace,paid
2024-04-18,ORD-100042,LATAM,Chile,A. Chen,Priority Support,Services,195,190.17,29666.52,20,49.1,"Globex SA",Startup,Self-Serve,paid
2024-11-28,ORD-100043,North America,Mexico,S. Patel,Retab Parse,Platform,194,31.61,5825.72,5,74.9,"Massive LLC",Mid-Market,Marketplace,refunded
2024-02-28,ORD-100044,EMEA,Spain,R. Okafor,Consensus Add-on,Add-on,197,92.42,18206.74,0,72.2,"Initech GmbH",Startup,Self-Serve,pending
2024-12-12,ORD-100045,LATAM,Colombia,P. Novak,Retab Classify,Platform,20,518.02,9842.38,5,42.5,"Hooli Co",Startup,Direct,paid
2024-09-29,ORD-100046,LATAM,Chile,K. Nakamura,Retab Extract,Platform,130,967.28,100597.12,20,74.2,"Globex SA",Strategic,Partner,paid
2024-03-31,ORD-100047,APAC,South Korea,L. Rossi,Enterprise SSO,Add-on,199,197.6,35390.16,10,52.2,"Umbra Inc",Strategic,Partner,paid
2024-10-18,ORD-100048,LATAM,Chile,L. Rossi,Retab Parse,Platform,127,2411.54,229699.18,25,47.3,"Hooli GmbH",Enterprise,Direct,pending
2024-04-07,ORD-100049,North America,United States,D. Walsh,Onboarding,Services,126,524.76,49589.82,25,66.4,"Wayne SA",Startup,Direct,paid
2024-04-23,ORD-100050,LATAM,Argentina,K. Nakamura,Consensus Add-on,Add-on,170,485.93,70216.89,15,56.7,"Soylent GmbH",Strategic,Self-Serve,paid
2024-05-08,ORD-100051,EMEA,United Kingdom,N. Costa,Retab Classify,Platform,81,30.41,2463.21,0,46.4,"Wayne GmbH",Enterprise,Direct,paid
2024-05-31,ORD-100052,EMEA,France,L. Rossi,Retab Split,Platform,78,30.21,2356.38,0,50.1,"Acme Ltd",Mid-Market,Marketplace,paid
2024-01-07,ORD-100053,APAC,Singapore,F. Haddad,Volume Credits,Usage,113,92.75,10480.75,0,49.1,"Wayne Inc",Startup,Marketplace,paid
2024-02-07,ORD-100054,North America,United States,D. Walsh,Retab Split,Platform,208,543.82,113114.56,0,81.7,"Globex Ltd",Strategic,Partner,pending
2024-07-13,ORD-100055,LATAM,Colombia,N. Costa,Consensus Add-on,Add-on,221,547.91,108979.3,10,63.0,"Acme Ltd",Startup,Partner,refunded
2024-04-18,ORD-100056,APAC,Japan,P. Novak,Retab Split,Platform,62,49.51,3069.62,0,38.1,"Wayne Co",Strategic,Self-Serve,paid
2024-04-28,ORD-100057,APAC,India,D. Walsh,Volume Credits,Usage,19,945.74,16172.15,10,72.7,"Massive Co",Mid-Market,Marketplace,paid
2024-10-05,ORD-100058,EMEA,UAE,N. Costa,Retab Split,Platform,233,105.47,24574.51,0,40.6,"Hooli Ltd",Enterprise,Marketplace,paid
2024-08-27,ORD-100059,APAC,Singapore,K. Nakamura,Consensus Add-on,Add-on,129,498.38,64291.02,0,64.3,"Stark Co",Enterprise,Direct,paid
2024-04-27,ORD-100060,North America,Mexico,M. Dubois,Consensus Add-on,Add-on,148,30.53,4518.44,0,58.7,"Wayne GmbH",Strategic,Marketplace,paid
2024-08-28,ORD-100061,APAC,Singapore,H. Kim,Priority Support,Services,83,920.0,76360.0,0,52.5,"Wayne GmbH",Strategic,Direct,paid
2024-02-15,ORD-100062,APAC,India,J. Müller,Priority Support,Services,30,2451.11,73533.3,0,66.9,"Soylent SA",Startup,Partner,pending
2024-07-04,ORD-100063,LATAM,Colombia,A. Chen,Retab Parse,Platform,53,99.97,4768.57,10,57.3,"Wayne Inc",Mid-Market,Partner,paid
2024-10-09,ORD-100064,North America,Mexico,F. Haddad,Onboarding,Services,24,53.82,1291.68,0,58.3,"Globex Co",Mid-Market,Marketplace,refunded
2024-05-29,ORD-100065,APAC,Singapore,N. Costa,Volume Credits,Usage,121,48.58,5878.18,0,54.9,"Massive Ltd",Mid-Market,Direct,paid
2024-07-31,ORD-100066,APAC,South Korea,E. Santos,Consensus Add-on,Add-on,211,27.74,5267.83,10,74.8,"Massive Co",Mid-Market,Marketplace,pending
2024-09-04,ORD-100067,APAC,India,J. Müller,Enterprise SSO,Add-on,196,486.75,81092.55,15,76.3,"Umbra Ltd",Mid-Market,Marketplace,paid
2024-06-11,ORD-100068,LATAM,Colombia,T. Andersson,Onboarding,Services,170,2659.31,452082.7,0,59.8,"Acme LLC",Enterprise,Direct,paid
2024-02-21,ORD-100069,LATAM,Brazil,P. Novak,Retab Split,Platform,105,2576.36,270517.8,0,41.3,"Hooli GmbH",Strategic,Direct,paid
2024-12-11,ORD-100070,LATAM,Chile,N. Costa,Volume Credits,Usage,224,452.68,101400.32,0,48.3,"Hooli LLC",Startup,Marketplace,paid
2024-11-20,ORD-100071,North America,Canada,K. Nakamura,Retab Split,Platform,178,106.99,19044.22,0,52.3,"Acme GmbH",Enterprise,Marketplace,paid
2024-05-05,ORD-100072,LATAM,Argentina,P. Novak,Retab Split,Platform,45,29.64,1067.04,20,65.3,"Umbra SA",Mid-Market,Partner,paid
2024-11-22,ORD-100073,APAC,Singapore,R. Okafor,Consensus Add-on,Add-on,171,31.31,4015.51,25,77.7,"Soylent LLC",Strategic,Self-Serve,pending
2024-06-02,ORD-100074,LATAM,Chile,J. Müller,Volume Credits,Usage,217,93.04,16151.74,20,75.5,"Globex LLC",Enterprise,Self-Serve,refunded
2024-05-31,ORD-100075,North America,Mexico,D. Walsh,Onboarding,Services,71,29.38,2085.98,0,78.1,"Wayne GmbH",Mid-Market,Self-Serve,paid
2024-11-21,ORD-100076,EMEA,Italy,D. Walsh,Consensus Add-on,Add-on,174,2609.42,454039.08,0,65.6,"Acme GmbH",Strategic,Direct,pending
2024-07-05,ORD-100077,EMEA,United Kingdom,T. Andersson,Consensus Add-on,Add-on,84,982.12,78373.18,5,43.8,"Soylent GmbH",Enterprise,Partner,paid
2024-09-03,ORD-100078,APAC,India,K. Nakamura,Retab Extract,Platform,120,26.92,3068.88,5,75.8,"Stark Ltd",Startup,Marketplace,paid
2024-05-15,ORD-100079,North America,Canada,H. Kim,Priority Support,Services,173,1033.43,143026.71,20,74.2,"Vandelay Inc",Mid-Market,Marketplace,paid
2024-11-13,ORD-100080,APAC,South Korea,J. Müller,Retab Classify,Platform,166,29.79,3708.85,25,78.0,"Hooli Co",Startup,Partner,paid
2024-01-20,ORD-100081,APAC,Singapore,N. Costa,Retab Extract,Platform,25,52.8,1320.0,0,55.1,"Vandelay Co",Strategic,Partner,paid
2024-12-01,ORD-100082,North America,Canada,F. Haddad,Audit Logs,Add-on,105,89.75,8010.19,15,47.6,"Wayne LLC",Enterprise,Direct,refunded
2024-07-07,ORD-100083,APAC,Japan,H. Kim,Onboarding,Services,71,53.59,2853.67,25,42.0,"Umbra Co",Startup,Direct,paid
2024-05-04,ORD-100084,EMEA,South Africa,D. Walsh,Audit Logs,Add-on,53,30.91,1556.32,5,63.8,"Umbra GmbH",Mid-Market,Direct,paid
2024-03-15,ORD-100085,EMEA,Italy,P. Novak,Consensus Add-on,Add-on,205,45.18,9261.9,0,43.8,"Vandelay LLC",Enterprise,Direct,paid
2024-05-15,ORD-100086,North America,United States,P. Novak,Onboarding,Services,135,30.42,3080.02,25,57.7,"Vandelay Ltd",Startup,Marketplace,pending
2024-04-23,ORD-100087,North America,Mexico,J. Müller,Enterprise SSO,Add-on,78,204.7,15966.6,0,40.7,"Wayne SA",Startup,Marketplace,refunded
2024-08-15,ORD-100088,North America,United States,N. Costa,Priority Support,Services,156,44.74,6281.5,10,65.5,"Massive Ltd",Enterprise,Marketplace,pending
2024-09-28,ORD-100089,APAC,Singapore,F. Haddad,Enterprise SSO,Add-on,155,183.05,28372.75,0,75.5,"Soylent Co",Mid-Market,Marketplace,paid
2024-04-26,ORD-100090,LATAM,Chile,M. Dubois,Volume Credits,Usage,103,208.14,18222.66,15,56.8,"Hooli GmbH",Strategic,Direct,paid
2024-02-13,ORD-100091,North America,Canada,T. Andersson,Retab Extract,Platform,191,973.55,185948.05,0,62.5,"Massive Ltd",Enterprise,Direct,paid
2024-06-30,ORD-100092,LATAM,Brazil,F. Haddad,Consensus Add-on,Add-on,154,96.06,14053.58,5,44.8,"Wayne LLC",Startup,Self-Serve,pending
2024-07-07,ORD-100093,North America,Canada,M. Dubois,Audit Logs,Add-on,58,2463.57,142887.06,0,64.8,"Hooli Inc",Enterprise,Self-Serve,paid
2024-06-28,ORD-100094,North America,United States,N. Costa,Retab Split,Platform,145,979.18,141981.1,0,70.6,"Acme Inc",Mid-Market,Marketplace,paid
2024-08-20,ORD-100095,APAC,Australia,D. Walsh,Priority Support,Services,80,963.91,77112.8,0,76.9,"Initech LLC",Startup,Direct,paid
2024-08-14,ORD-100096,LATAM,Colombia,H. Kim,Audit Logs,Add-on,114,189.97,21656.58,0,53.2,"Globex GmbH",Strategic,Self-Serve,paid
2024-04-22,ORD-100097,LATAM,Brazil,R. Okafor,Retab Parse,Platform,53,107.82,5714.46,0,71.6,"Hooli GmbH",Startup,Marketplace,refunded
2024-08-08,ORD-100098,EMEA,Germany,A. Chen,Onboarding,Services,137,945.08,110054.57,15,41.2,"Acme SA",Strategic,Direct,paid
2024-10-21,ORD-100099,LATAM,Colombia,F. Haddad,Onboarding,Services,75,28.45,1813.69,15,45.6,"Massive SA",Enterprise,Direct,paid
2024-02-24,ORD-100100,EMEA,Spain,D. Walsh,Audit Logs,Add-on,103,456.95,42359.26,10,70.8,"Umbra GmbH",Mid-Market,Direct,pending
2024-11-20,ORD-100101,North America,Mexico,S. Patel,Enterprise SSO,Add-on,50,2423.72,121186.0,0,48.4,"Initech GmbH",Mid-Market,Partner,refunded
2024-02-08,ORD-100102,EMEA,South Africa,H. Kim,Volume Credits,Usage,119,2530.85,225878.36,25,68.0,"Massive Co",Enterprise,Self-Serve,paid
2024-08-13,ORD-100103,North America,Canada,E. Santos,Volume Credits,Usage,162,104.87,16988.94,0,53.5,"Globex GmbH",Strategic,Direct,paid
2024-07-07,ORD-100104,APAC,Japan,D. Walsh,Retab Extract,Platform,158,499.71,59215.63,25,63.5,"Acme SA",Mid-Market,Self-Serve,pending
2024-08-31,ORD-100105,EMEA,United Kingdom,H. Kim,Volume Credits,Usage,27,2698.48,61930.12,15,81.2,"Globex Ltd",Mid-Market,Direct,paid
2024-12-28,ORD-100106,LATAM,Colombia,D. Walsh,Enterprise SSO,Add-on,134,464.94,52956.67,15,78.4,"Stark SA",Enterprise,Direct,refunded
2024-11-27,ORD-100107,APAC,Japan,K. Nakamura,Priority Support,Services,25,516.8,11628.0,10,49.1,"Massive LLC",Startup,Partner,paid
2024-06-07,ORD-100108,LATAM,Argentina,H. Kim,Audit Logs,Add-on,182,27.9,4062.24,20,66.3,"Vandelay LLC",Startup,Marketplace,pending
2024-07-04,ORD-100109,North America,Canada,R. Okafor,Consensus Add-on,Add-on,47,47.45,1672.61,25,46.4,"Initech LLC",Enterprise,Direct,pending
2024-10-03,ORD-100110,North America,Mexico,D. Walsh,Priority Support,Services,225,2557.99,460438.2,20,44.8,"Initech Co",Mid-Market,Marketplace,paid
2024-07-29,ORD-100111,APAC,Australia,D. Walsh,Volume Credits,Usage,157,104.0,12246.0,25,48.3,"Umbra GmbH",Strategic,Partner,paid
2024-12-13,ORD-100112,LATAM,Colombia,M. Dubois,Consensus Add-on,Add-on,200,199.12,31859.2,20,80.5,"Umbra Ltd",Enterprise,Direct,refunded
2024-09-03,ORD-100113,APAC,South Korea,E. Santos,Retab Extract,Platform,183,2506.95,458771.85,0,50.5,"Initech GmbH",Mid-Market,Marketplace,paid
2024-04-23,ORD-100114,LATAM,Chile,S. Patel,Retab Parse,Platform,107,28.4,2582.98,15,48.4,"Globex GmbH",Startup,Self-Serve,paid
2024-12-31,ORD-100115,APAC,Australia,E. Santos,Retab Split,Platform,10,107.26,804.45,25,68.6,"Initech Co",Strategic,Direct,paid
2024-01-10,ORD-100116,APAC,Australia,L. Rossi,Retab Split,Platform,141,1020.75,115140.6,20,42.9,"Hooli LLC",Startup,Direct,paid
2024-08-02,ORD-100117,LATAM,Brazil,N. Costa,Retab Extract,Platform,215,202.85,43612.75,0,65.8,"Massive LLC",Mid-Market,Self-Serve,paid
2024-01-01,ORD-100118,APAC,Australia,T. Andersson,Audit Logs,Add-on,107,50.61,5415.27,0,61.0,"Vandelay Inc",Startup,Marketplace,paid
2024-01-23,ORD-100119,LATAM,Chile,N. Costa,Consensus Add-on,Add-on,192,28.17,5408.64,0,53.2,"Globex Ltd",Enterprise,Partner,paid
2024-06-29,ORD-100120,APAC,Australia,L. Rossi,Volume Credits,Usage,179,204.24,36558.96,0,40.8,"Wayne Inc",Mid-Market,Direct,paid
2024-01-22,ORD-100121,APAC,India,K. Nakamura,Enterprise SSO,Add-on,102,2520.51,231382.82,10,39.6,"Umbra GmbH",Startup,Self-Serve,paid
2024-03-04,ORD-100122,APAC,Singapore,N. Costa,Onboarding,Services,191,214.71,32807.69,20,52.9,"Initech SA",Strategic,Self-Serve,pending
2024-05-16,ORD-100123,North America,Mexico,R. Okafor,Onboarding,Services,21,203.08,4264.68,0,62.0,"Vandelay Inc",Enterprise,Self-Serve,paid
2024-08-16,ORD-100124,LATAM,Argentina,H. Kim,Volume Credits,Usage,90,180.79,13830.43,15,65.1,"Stark GmbH",Startup,Direct,refunded
2024-11-22,ORD-100125,LATAM,Chile,D. Walsh,Enterprise SSO,Add-on,206,1034.85,213179.1,0,44.3,"Massive Co",Strategic,Direct,paid
2024-02-04,ORD-100126,EMEA,South Africa,K. Nakamura,Priority Support,Services,93,216.89,20170.77,0,64.6,"Wayne GmbH",Strategic,Direct,pending
2024-03-11,ORD-100127,APAC,Singapore,T. Andersson,Priority Support,Services,167,94.04,15704.68,0,39.1,"Initech SA",Strategic,Direct,paid
2024-05-13,ORD-100128,LATAM,Argentina,E. Santos,Audit Logs,Add-on,74,1082.21,60062.66,25,46.8,"Initech Inc",Mid-Market,Marketplace,paid
2024-12-15,ORD-100129,APAC,India,T. Andersson,Retab Extract,Platform,141,478.08,60668.35,10,75.5,"Initech GmbH",Mid-Market,Direct,paid
2024-03-12,ORD-100130,EMEA,South Africa,P. Novak,Volume Credits,Usage,7,100.07,595.42,15,58.6,"Soylent LLC",Startup,Direct,paid
2024-07-22,ORD-100131,LATAM,Colombia,H. Kim,Onboarding,Services,211,456.46,81866.1,15,66.3,"Wayne SA",Enterprise,Partner,pending
2024-11-23,ORD-100132,EMEA,South Africa,L. Rossi,Retab Split,Platform,111,539.99,59938.89,0,74.6,"Soylent LLC",Mid-Market,Partner,paid
2024-12-29,ORD-100133,EMEA,France,M. Dubois,Enterprise SSO,Add-on,230,105.85,21910.95,10,46.6,"Soylent GmbH",Enterprise,Direct,pending
2024-11-24,ORD-100134,EMEA,Italy,F. Haddad,Audit Logs,Add-on,40,50.56,1719.04,15,75.1,"Massive Inc",Startup,Direct,paid
2024-11-24,ORD-100135,APAC,Australia,H. Kim,Audit Logs,Add-on,107,512.87,41157.82,25,77.1,"Soylent GmbH",Enterprise,Marketplace,paid
2024-12-16,ORD-100136,LATAM,Chile,K. Nakamura,Volume Credits,Usage,19,911.07,12982.75,25,56.3,"Wayne LLC",Mid-Market,Self-Serve,refunded
2024-06-12,ORD-100137,APAC,Singapore,L. Rossi,Retab Split,Platform,195,99.3,19363.5,0,52.0,"Wayne Inc",Strategic,Partner,paid
2024-02-19,ORD-100138,North America,Canada,K. Nakamura,Onboarding,Services,222,490.83,108964.26,0,73.8,"Massive Co",Mid-Market,Partner,paid
2024-09-20,ORD-100139,LATAM,Colombia,P. Novak,Consensus Add-on,Add-on,128,26.62,2725.89,20,60.2,"Umbra LLC",Enterprise,Direct,paid
2024-05-24,ORD-100140,LATAM,Colombia,K. Nakamura,Consensus Add-on,Add-on,138,31.01,3423.5,20,43.9,"Hooli Co",Strategic,Self-Serve,paid
2024-07-24,ORD-100141,North America,Mexico,L. Rossi,Enterprise SSO,Add-on,50,100.05,5002.5,0,55.0,"Wayne Ltd",Startup,Partner,paid
2024-07-20,ORD-100142,APAC,India,A. Chen,Enterprise SSO,Add-on,241,104.05,23822.25,5,64.5,"Stark Ltd",Startup,Direct,paid
2024-12-31,ORD-100143,APAC,Singapore,M. Dubois,Enterprise SSO,Add-on,117,50.04,5854.68,0,52.4,"Massive GmbH",Strategic,Self-Serve,pending
2024-06-21,ORD-100144,LATAM,Chile,D. Walsh,Volume Credits,Usage,209,28.24,5902.16,0,81.1,"Massive GmbH",Startup,Marketplace,paid
2024-12-01,ORD-100145,EMEA,UAE,P. Novak,Retab Parse,Platform,150,185.89,22306.8,20,44.5,"Umbra Inc",Startup,Partner,paid
2024-08-13,ORD-100146,APAC,Singapore,M. Dubois,Retab Split,Platform,106,939.84,74717.28,25,76.4,"Acme Co",Mid-Market,Self-Serve,refunded
2024-09-01,ORD-100147,LATAM,Chile,E. Santos,Retab Split,Platform,118,483.26,48470.98,15,67.7,"Hooli Ltd",Mid-Market,Partner,paid
2024-10-12,ORD-100148,APAC,Australia,D. Walsh,Consensus Add-on,Add-on,198,103.06,15304.41,25,51.9,"Vandelay Ltd",Enterprise,Self-Serve,paid
2024-10-20,ORD-100149,LATAM,Colombia,E. Santos,Priority Support,Services,245,2651.25,584600.62,10,39.9,"Globex GmbH",Enterprise,Marketplace,paid
2024-04-13,ORD-100150,APAC,South Korea,H. Kim,Consensus Add-on,Add-on,36,29.67,1014.71,5,48.7,"Soylent LLC",Mid-Market,Direct,paid
2024-07-30,ORD-100151,APAC,Singapore,H. Kim,Retab Extract,Platform,175,2317.81,405616.75,0,55.9,"Wayne SA",Mid-Market,Self-Serve,paid
2024-05-26,ORD-100152,North America,United States,F. Haddad,Audit Logs,Add-on,60,522.82,31369.2,0,78.2,"Initech SA",Mid-Market,Direct,paid
2024-09-10,ORD-100153,EMEA,UAE,E. Santos,Consensus Add-on,Add-on,225,26.15,5883.75,0,78.9,"Vandelay GmbH",Strategic,Partner,pending
2024-08-27,ORD-100154,APAC,Australia,K. Nakamura,Retab Extract,Platform,85,51.26,3921.39,10,69.6,"Acme Co",Enterprise,Partner,paid
2024-11-08,ORD-100155,LATAM,Colombia,K. Nakamura,Enterprise SSO,Add-on,84,28.42,2387.28,0,46.1,"Initech SA",Mid-Market,Direct,paid
2024-07-15,ORD-100156,EMEA,Spain,S. Patel,Consensus Add-on,Add-on,245,95.08,23294.6,0,49.5,"Vandelay Co",Startup,Direct,paid
2024-06-06,ORD-100157,EMEA,Spain,P. Novak,Enterprise SSO,Add-on,237,1052.91,249539.67,0,66.1,"Hooli GmbH",Mid-Market,Partner,paid
2024-09-01,ORD-100158,EMEA,Spain,H. Kim,Audit Logs,Add-on,96,207.04,14906.88,25,71.3,"Umbra LLC",Startup,Marketplace,pending
2024-12-26,ORD-100159,APAC,Japan,K. Nakamura,Audit Logs,Add-on,29,30.91,851.57,5,63.2,"Initech LLC",Strategic,Direct,refunded
2024-04-15,ORD-100160,LATAM,Brazil,A. Chen,Enterprise SSO,Add-on,115,2276.91,261844.65,0,60.6,"Wayne Ltd",Strategic,Self-Serve,refunded
2024-01-12,ORD-100161,LATAM,Chile,A. Chen,Retab Parse,Platform,191,49.77,9506.07,0,56.6,"Globex Ltd",Startup,Marketplace,paid
2024-05-26,ORD-100162,LATAM,Argentina,F. Haddad,Retab Split,Platform,197,1094.57,172504.23,20,54.5,"Stark SA",Strategic,Marketplace,paid
2024-12-15,ORD-100163,EMEA,UAE,D. Walsh,Priority Support,Services,31,53.83,1334.98,20,61.3,"Umbra Inc",Startup,Self-Serve,paid
2024-12-10,ORD-100164,LATAM,Colombia,D. Walsh,Retab Classify,Platform,64,192.88,11109.89,10,46.3,"Globex Inc",Strategic,Direct,paid
2024-04-15,ORD-100165,North America,United States,E. Santos,Audit Logs,Add-on,9,202.89,1826.01,0,48.8,"Acme SA",Mid-Market,Partner,paid
2024-03-12,ORD-100166,APAC,Australia,T. Andersson,Audit Logs,Add-on,82,508.77,35461.27,15,48.4,"Initech Co",Mid-Market,Marketplace,paid
2024-05-20,ORD-100167,North America,Mexico,H. Kim,Audit Logs,Add-on,226,1081.23,195486.38,20,62.5,"Acme GmbH",Strategic,Self-Serve,refunded
2024-08-01,ORD-100168,LATAM,Argentina,F. Haddad,Consensus Add-on,Add-on,97,51.49,3745.9,25,48.6,"Umbra GmbH",Mid-Market,Marketplace,paid
2024-10-14,ORD-100169,LATAM,Colombia,F. Haddad,Enterprise SSO,Add-on,136,47.91,5864.18,10,46.9,"Globex SA",Enterprise,Direct,pending
2024-04-07,ORD-100170,North America,Canada,H. Kim,Onboarding,Services,173,509.27,88103.71,0,46.3,"Massive Co",Mid-Market,Marketplace,paid
2024-06-19,ORD-100171,APAC,Japan,N. Costa,Retab Classify,Platform,240,53.53,12847.2,0,70.9,"Wayne LLC",Mid-Market,Marketplace,paid
2024-10-09,ORD-100172,APAC,India,E. Santos,Onboarding,Services,120,513.84,55494.72,10,49.5,"Soylent SA",Startup,Marketplace,paid
