#,date,authored_at,short_sha,sha,subject,author,parent_count,diff_basis,repo_files_changed,repo_insertions,repo_deletions,repo_loc_changed,repo_areas_changed,pdf_viewer_path_files_changed,pdf_viewer_path_insertions,pdf_viewer_path_deletions,pdf_viewer_path_loc_changed,pdf_related_files_changed,pdf_related_loc_changed,pdf_related_categories,pdf_related_files,pdf_behavior_summary,regression_relevance
11,2026-06-11,2026-06-11T08:33:47+02:00,9e2dffe,9e2dffed5cbc5152a5f1c6dbb9fda1fc2a5af7b5,"Add file-thumbnail showcase, file/xlsx viewers, viewer blocks; schema-editor updates",Sacha Ichbiah,1,parent,74,5678,1434,7112,apps: 73 files / 7076 LOC; pnpm-lock.yaml: 1 files / 36 LOC,1,2,2,4,4,257,thumbnail UI; viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+202/-0) | apps/v4/registry/new-york-v4/blocks/pdf-thumbnails-block.tsx (+48/-0) | apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+2/-2) | apps/v4/components/ui/pdf-thumbnail-sidebar.tsx (+3/-0),"Touched PDF-related categories: thumbnail UI, viewer entrypoint. Files: apps/v4/components/ui/pdf-thumbnail-sidebar.tsx | apps/v4/registry/new-york-v4/blocks/pdf-thumbnails-block.tsx | apps/v4/registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx","P3 PDF core touched, but no obvious low/high-res mechanism."
12,2026-06-11,2026-06-11T09:06:19+02:00,e5dacc0,e5dacc07a32b5913ab7bf7178133c5df78c25ae5,Add document source support: PDF viewer sources + Extract Viewer block,Sacha Ichbiah,1,parent,12,735,17,752,apps: 12 files / 752 LOC,1,109,15,124,1,124,viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+109/-15),Touched PDF-related categories: viewer entrypoint. Files: apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
13,2026-06-11,2026-06-11T10:09:08+02:00,3136d77,3136d7717c4d246829465cfbfbb82c6a7ffb203c,"Document viewers: image/TIFF, PPTX, XLSX, file dispatcher + perf",Sacha Ichbiah,1,parent,45,4311,677,4988,apps: 44 files / 4598 LOC; pnpm-lock.yaml: 1 files / 390 LOC,1,11,10,21,1,21,viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+11/-10),Touched PDF-related categories: viewer entrypoint. Files: apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
14,2026-06-11,2026-06-11T11:57:43+02:00,ab5a2b1,ab5a2b192b041a223a8eb3491754724b221c9fa6,"Document viewers: source-linking, new blocks, and public sample data",Sacha Ichbiah,1,parent,92,24188,9391,33579,apps: 87 files / 33173 LOC; design: 2 files / 308 LOC; sample: 2 files / 81 LOC; pnpm-lock.yaml: 1 files / 17 LOC,1,101,8,109,3,201,PDF source overlays; viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+101/-8) | apps/v4/registry/new-york-v4/ui/pdf-source.tsx (+89/-0) | apps/v4/components/ui/pdf-source.tsx (+3/-0),"Touched PDF-related categories: PDF source overlays, viewer entrypoint. Files: apps/v4/components/ui/pdf-source.tsx | apps/v4/registry/new-york-v4/ui/pdf-source.tsx | apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx","P3 PDF core touched, but no obvious low/high-res mechanism."
15,2026-06-11,2026-06-11T12:06:32+02:00,ce01545,ce01545b61a3d3cc97fa00eb6a67a9c75c857511,Fix production build: declare @shikijs/themes; complete source viewers/blocks,Sacha Ichbiah,1,parent,24,969,183,1152,apps: 23 files / 1149 LOC; pnpm-lock.yaml: 1 files / 3 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
16,2026-06-11,2026-06-11T12:08:59+02:00,5769600,5769600c2e4f10bfb999b509da82c86818389504,"Sources category: field→source linking across PDF, image, text, CSV, Excel",Sacha Ichbiah,1,parent,23,1080,1014,2094,apps: 22 files / 2072 LOC; pnpm-lock.yaml: 1 files / 22 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
17,2026-06-11,2026-06-11T12:12:48+02:00,c29625f,c29625f9f40ddddf167a1bff79ad2e208e01fee3,Hoist @shikijs/themes so @pierre/diffs' shiki worker resolves it in production build,Sacha Ichbiah,1,parent,1,1,0,1,.npmrc: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
18,2026-06-11,2026-06-11T12:17:42+02:00,cd0f70e,cd0f70ed544e8551e05e296c2e87c480b493606f,Add apps/v4/.npmrc hoist so Vercel (root dir = apps/v4) resolves @shikijs/themes,Sacha Ichbiah,1,parent,1,1,0,1,apps: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
19,2026-06-11,2026-06-11T12:20:06+02:00,36ba9b1,36ba9b1526ee7f09d1a1cb6fb8ecb6ece5741aae,Set packageManager in apps/v4 so Vercel installs with pnpm (not npm),Sacha Ichbiah,1,parent,1,1,0,1,apps: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
20,2026-06-11,2026-06-11T12:34:59+02:00,0b6fdee,0b6fdee477d79153c35091418c3f3744449d08f7,"Deploy on npm: pin single @shikijs/themes version, drop pnpm-on-Vercel scaffolding",Sacha Ichbiah,1,parent,5,63,14,77,pnpm-lock.yaml: 1 files / 68 LOC; package.json: 1 files / 6 LOC; apps: 2 files / 2 LOC; .npmrc: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
21,2026-06-11,2026-06-11T12:36:50+02:00,9728d2f,9728d2f1e2ae819c5da10fa00a025d7c49989e98,Put @shikijs/themes override in apps/v4/package.json (Vercel's npm install root),Sacha Ichbiah,1,parent,1,3,0,3,apps: 1 files / 3 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
22,2026-06-11,2026-06-11T12:41:04+02:00,97d089e,97d089e1f3bdf9e4e4ba8246697a7b1bcadc941f,"Install with pnpm on Vercel via Corepack (deterministic), keep @shikijs/themes override",Sacha Ichbiah,1,parent,4,7,7,14,apps: 2 files / 8 LOC; package.json: 1 files / 5 LOC; .npmrc: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
23,2026-06-11,2026-06-11T12:45:08+02:00,64bf38b,64bf38bff615c20b874ce600d08344d03fbd91b5,Pin @pierre/diffs to 1.2.7 via pnpm override (1.2.9 adds @pierre/theming with unresolvable @shikijs/themes imports),Sacha Ichbiah,1,parent,2,4,2,6,package.json: 1 files / 3 LOC; pnpm-lock.yaml: 1 files / 3 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
24,2026-06-11,2026-06-11T12:53:47+02:00,5e58895,5e58895e8c8dc4a97cb2b8819c5a39625a18561d,Checkpoint before flattening monorepo to a single package,Sacha Ichbiah,1,parent,47,2078,518,2596,apps: 47 files / 2596 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
25,2026-06-11,2026-06-11T12:58:29+02:00,2e2a1b0,2e2a1b0f6154f0b4c07001784719b4639cb5afba,Flatten monorepo to a single root package (kill turborepo + pnpm workspace),Sacha Ichbiah,1,parent,616,2866,852,3718,registry json: 90 files / 2105 LOC; pnpm-lock.yaml: 1 files / 839 LOC; apps: 5 files / 249 LOC; package.json: 1 files / 157 LOC; registry ui: 52 files / 75 LOC; turbo.json: 1 files / 59 LOC; README.md: 1 files / 46 LOC; tsconfig.json: 1 files / 43 LOC,2,8,1,9,13,104,PDF related; PDF source overlays; docs; registry output; thumbnail UI; viewer entrypoint,public/r/pdf-thumbnails-block.json (+29/-0) | public/r/pdf-viewer.json (+26/-0) | public/r/pdf-source.json (+20/-0) | public/r/pdf-thumbnail-sidebar.json (+20/-0) | registry/new-york-v4/ui/pdf-viewer.tsx (+8/-1) | components/pdf-viewer-demo.tsx (+0/-0) | components/ui/pdf-source.tsx (+0/-0) | components/ui/pdf-thumbnail-sidebar.tsx (+0/-0) | components/ui/pdf-viewer.tsx (+0/-0) | content/docs/components/pdf-viewer.mdx (+0/-0) | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx (+0/-0) | registry/new-york-v4/ui/pdf-source.tsx (+0/-0) | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx (+0/-0),Regenerated registry JSON output. Files: components/pdf-viewer-demo.tsx | components/ui/pdf-source.tsx | components/ui/pdf-thumbnail-sidebar.tsx | components/ui/pdf-viewer.tsx | public/r/pdf-source.json | public/r/pdf-thumbnail-sidebar.json | public/r/pdf-thumbnails-block.json | public/r/pdf-viewer.json | registry/new-york-v4/blocks/pdf-thumbnails-block.tsx | registry/new-york-v4/ui/pdf-source.tsx | registry/new-york-v4/ui/pdf-thumbnail-sidebar.tsx | registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
26,2026-06-11,2026-06-11T13:30:17+02:00,b2da612,b2da61297645a60e11e3d15a626779888b40fff2,Add Extract workflow block and finish Workflows section wiring,Sacha Ichbiah,1,parent,23,1071,111,1182,registry blocks: 3 files / 741 LOC; registry ui: 8 files / 132 LOC; app: 2 files / 99 LOC; docs: 3 files / 88 LOC; components: 2 files / 55 LOC; registry.json: 1 files / 28 LOC; pnpm-lock.yaml: 1 files / 25 LOC; package.json: 1 files / 10 LOC,1,23,5,28,1,28,viewer entrypoint,registry/new-york-v4/ui/pdf-viewer.tsx (+23/-5),Touched PDF-related categories: viewer entrypoint. Files: registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
27,2026-06-11,2026-06-11T13:37:20+02:00,3aba703,3aba703bac81ad4d7e9b43c6d9d549328f242a98,"Commit working tree: viewer tweaks, primitive cards, bun lockfile",Sacha Ichbiah,1,parent,6,228,133,361,registry blocks: 1 files / 180 LOC; registry ui: 2 files / 168 LOC; components: 2 files / 13 LOC; bun.lockb: 1 files / 0 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
28,2026-06-11,2026-06-11T13:37:32+02:00,d0637e8,d0637e89327370bfcb1ebb400a8e8d90e2ee25f9,Update primitive-cards block,Sacha Ichbiah,1,parent,1,17,2,19,registry blocks: 1 files / 19 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
29,2026-06-11,2026-06-11T13:48:05+02:00,78a056d,78a056d4cc4e67f9ebaee8d8b67371dd618d6947,Commit working tree: viewer and showcase tweaks,Sacha Ichbiah,1,parent,7,297,143,440,registry ui: 2 files / 270 LOC; registry blocks: 2 files / 162 LOC; app: 1 files / 5 LOC; next-env.d.ts: 1 files / 2 LOC; docs: 1 files / 1 LOC,1,146,85,231,1,231,viewer entrypoint,registry/new-york-v4/ui/pdf-viewer.tsx (+146/-85),Touched PDF-related categories: viewer entrypoint. Files: registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
30,2026-06-11,2026-06-11T13:49:05+02:00,8d644b3,8d644b30f7b37309484745cf5497d2161043e0a2,Commit working tree: viewer/source and primitive-cards tweaks,Sacha Ichbiah,1,parent,6,43,18,61,registry blocks: 1 files / 31 LOC; registry ui: 5 files / 30 LOC,1,3,3,6,2,12,PDF source overlays; viewer entrypoint,registry/new-york-v4/ui/pdf-source.tsx (+3/-3) | registry/new-york-v4/ui/pdf-viewer.tsx (+3/-3),"Touched PDF-related categories: PDF source overlays, viewer entrypoint. Files: registry/new-york-v4/ui/pdf-source.tsx | registry/new-york-v4/ui/pdf-viewer.tsx","P3 PDF core touched, but no obvious low/high-res mechanism."
31,2026-06-11,2026-06-11T14:48:09+02:00,393562b,393562b5454c546defb61b0267b68c1de53f440f,xlsx-viewer: add isolateStyles shadow-DOM option for :has() scroll perf,Sacha Ichbiah,1,parent,2,175,5,180,registry ui: 1 files / 179 LOC; components: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
32,2026-06-11,2026-06-11T15:01:44+02:00,62f632c,62f632c3bada26b7b284e2a90560abc1d09ee56c,file-viewer: add isolateStyles shadow-DOM option for :has() scroll perf,Sacha Ichbiah,1,parent,2,177,12,189,registry ui: 1 files / 188 LOC; components: 1 files / 1 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
33,2026-06-11,2026-06-11T15:36:47+02:00,4e4c4b3,4e4c4b36f9c5d874432fcf487babe270331b82ff,"Primitive run cards, home/showcase polish, and viewer/docs updates",Sacha Ichbiah,1,parent,80,17971,2191,20162,public: 5 files / 15855 LOC; components: 30 files / 1993 LOC; registry blocks: 7 files / 1041 LOC; registry ui: 8 files / 465 LOC; docs: 21 files / 403 LOC; registry.json: 1 files / 157 LOC; app: 2 files / 105 LOC; registry json: 2 files / 68 LOC,0,0,0,0,2,185,docs,content/docs/viewers/pdf-viewer.mdx (+114/-0) | content/docs/components/pdf-viewer.mdx (+0/-71),No PDF viewer path changes.,P4 PDF-adjacent only.
34,2026-06-11,2026-06-11T15:39:39+02:00,e524e6b,e524e6bff44dec28dad33569dc544864ffd2ca5a,"Docs + registry restructure: legend/sidebar pages, drop segmented-viewer, regenerate registry",Sacha Ichbiah,1,parent,35,454,199,653,registry json: 28 files / 396 LOC; docs: 5 files / 208 LOC; components: 1 files / 43 LOC; mdx-components.tsx: 1 files / 6 LOC,0,0,0,0,2,4,PDF source overlays; registry output,public/r/pdf-source.json (+1/-1) | public/r/pdf-viewer.json (+1/-1),Regenerated registry JSON output. Files: public/r/pdf-source.json | public/r/pdf-viewer.json,P4 PDF-adjacent only.
35,2026-06-11,2026-06-11T15:40:07+02:00,2c23789,2c2378947c90d579e14bf7e94e9a670e99651a54,docx-viewer docs tweak; refresh generated next-env.d.ts,Sacha Ichbiah,1,parent,2,2,2,4,docs: 1 files / 2 LOC; next-env.d.ts: 1 files / 2 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
36,2026-06-11,2026-06-11T15:52:36+02:00,ac74245,ac74245103f19be2cafb0598bfb284245f871e83,Move Parse Viewer into Viewers section; sidebar/registry tweaks,Sacha Ichbiah,1,parent,23,573,152,725,components: 4 files / 275 LOC; registry blocks: 3 files / 222 LOC; registry json: 6 files / 77 LOC; registry ui: 2 files / 75 LOC; lib: 2 files / 37 LOC; registry.json: 1 files / 33 LOC; docs: 5 files / 6 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
37,2026-06-11,2026-06-11T16:17:33+02:00,7b8fe3b,7b8fe3b29d59ea756b2d42651883a9b3907c722b,Remove json-form-field component; refactor json-form and schema-editor,Sacha Ichbiah,1,parent,76,1196,10660,11856,components: 42 files / 11479 LOC; docs: 7 files / 184 LOC; registry blocks: 9 files / 94 LOC; registry ui: 3 files / 61 LOC; registry json: 11 files / 22 LOC; registry: 1 files / 8 LOC; app: 1 files / 4 LOC; lib: 1 files / 2 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
38,2026-06-11,2026-06-11T16:24:55+02:00,ed8d5b2,ed8d5b277086c0629cfd439dee967548e2f5f060,json-table: remove dead hover-card and unused exports,Sacha Ichbiah,1,parent,27,598,2400,2998,components: 13 files / 2558 LOC; fidelity_form_fields.json: 1 files / 350 LOC; fidelity_instructions.txt: 1 files / 42 LOC; registry ui: 3 files / 30 LOC; registry json: 3 files / 8 LOC; registry blocks: 1 files / 4 LOC; docs: 1 files / 2 LOC; lib: 1 files / 2 LOC,1,7,6,13,1,13,viewer entrypoint,registry/new-york-v4/ui/pdf-viewer.tsx (+7/-6),Touched PDF-related categories: viewer entrypoint. Files: registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
39,2026-06-11,2026-06-11T16:25:21+02:00,183d83c,183d83c058e38535553d89e24d715c2728b7cb25,Regenerate registry output (public/r) and pptx-viewer,Sacha Ichbiah,1,parent,10,13,12,25,registry json: 9 files / 20 LOC; registry ui: 1 files / 5 LOC,0,0,0,0,1,2,registry output,public/r/pdf-viewer.json (+1/-1),Regenerated registry JSON output. Files: public/r/pdf-viewer.json,P4 PDF-adjacent only.
40,2026-06-11,2026-06-11T16:31:50+02:00,335d929,335d9295f9dd4c1f60052c73632ff5170be107a3,json-table/schema-editor: drop computed-field handling; add fidelity-edit samples,Sacha Ichbiah,1,parent,12,1154,669,1823,public: 5 files / 1139 LOC; components: 6 files / 672 LOC; registry ui: 1 files / 12 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
41,2026-06-11,2026-06-11T17:23:19+02:00,b31627e,b31627e54c81e85bd295cf34448da45c7f935ba0,update document viewers,Sacha Ichbiah,1,parent,85,1143,8590,9733,components: 41 files / 4451 LOC; registry blocks: 9 files / 3063 LOC; docs: 15 files / 719 LOC; registry json: 13 files / 469 LOC; public: 3 files / 410 LOC; fidelity_form_fields.json: 1 files / 350 LOC; registry.json: 1 files / 234 LOC; mdx-components.tsx: 1 files / 20 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
42,2026-06-11,2026-06-11T17:23:40+02:00,a09bfe2,a09bfe200846e94fdc15b7a418cfacc465398844,update edit viewer,Sacha Ichbiah,1,parent,1,0,9,9,components: 1 files / 9 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
43,2026-06-11,2026-06-11T17:24:13+02:00,b194834,b1948341ee85ef1f186a7555e271b47089b75bd4,update edit viewer tabs,Sacha Ichbiah,1,parent,3,61,63,124,components: 1 files / 68 LOC; registry blocks: 2 files / 56 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
44,2026-06-11,2026-06-11T17:24:33+02:00,c861885,c8618857e5c1e54e25835f9c431e8420aaa03769,update edit viewer demo,Sacha Ichbiah,1,parent,1,1,2,3,components: 1 files / 3 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
45,2026-06-11,2026-06-11T17:24:57+02:00,c99cb92,c99cb92896d94112c6cac10c4d785ba766a0bbb4,update json form source links,Sacha Ichbiah,1,parent,1,3,0,3,components: 1 files / 3 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
46,2026-06-11,2026-06-11T18:18:58+02:00,f427e41,f427e413864ead429980372a8c91e6e4c62c300c,clean json table,Sacha Ichbiah,1,parent,46,2271,2350,4621,components: 29 files / 4470 LOC; docs: 6 files / 52 LOC; mdx-components.tsx: 1 files / 34 LOC; registry json: 5 files / 22 LOC; app: 1 files / 20 LOC; registry blocks: 1 files / 10 LOC; registry ui: 2 files / 8 LOC; registry.json: 1 files / 5 LOC,0,0,0,0,1,20,PDF related,components/pdf-viewer-demo.tsx (+0/-20),Touched PDF-related categories: PDF related. Files: components/pdf-viewer-demo.tsx,P4 PDF-adjacent only.
47,2026-06-11,2026-06-11T18:51:54+02:00,1f4ebf1,1f4ebf1a16dc4fad2889d3d219e78e5907cc4004,update components,Sacha Ichbiah,1,parent,56,3229,5055,8284,components: 50 files / 8064 LOC; tests: 2 files / 149 LOC; docs: 2 files / 57 LOC; registry ui: 1 files / 10 LOC; registry json: 1 files / 4 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
